attack,fpr,mean_tpr,sample_std_tpr
compression_rate,0.25,0.3294270833333333,0.06314768569261532
compression_rate,0.252,0.3294270833333333,0.06314768569261532
compression_rate,0.254,0.3450520833333333,0.05303492670420912
compression_rate,0.256,0.3450520833333333,0.05303492670420912
compression_rate,0.258,0.3463541666666667,0.053321862576675184
compression_rate,0.26,0.3463541666666667,0.053321862576675184
compression_rate,0.262,0.34765625,0.05122998847110938
compression_rate,0.264,0.34765625,0.05122998847110938
compression_rate,0.266,0.3502604166666667,0.05487319662944135
compression_rate,0.268,0.3502604166666667,0.05487319662944135
compression_rate,0.27,0.3502604166666667,0.05487319662944135
compression_rate,0.272,0.3502604166666667,0.05487319662944135
compression_rate,0.274,0.3515625,0.05284277054089329
compression_rate,0.276,0.3515625,0.05284277054089329
compression_rate,0.278,0.3528645833333333,0.054733983221311726
compression_rate,0.28,0.3528645833333333,0.054733983221311726
compression_rate,0.28200000000000003,0.3541666666666667,0.052746429949294515
compression_rate,0.28400000000000003,0.3541666666666667,0.052746429949294515
compression_rate,0.28600000000000003,0.3567708333333333,0.0566518487442893
compression_rate,0.28800000000000003,0.3567708333333333,0.0566518487442893
compression_rate,0.29,0.3567708333333333,0.0566518487442893
compression_rate,0.292,0.3567708333333333,0.0566518487442893
compression_rate,0.294,0.3645833333333333,0.04884114409768503
compression_rate,0.296,0.3645833333333333,0.04884114409768503
compression_rate,0.298,0.3684895833333333,0.047091513854232096
compression_rate,0.3,0.3684895833333333,0.047091513854232096
compression_rate,0.302,0.3723958333333333,0.046929222111823175
compression_rate,0.304,0.3723958333333333,0.046929222111823175
compression_rate,0.306,0.3763020833333333,0.046929222111823175
compression_rate,0.308,0.3763020833333333,0.046929222111823175
compression_rate,0.31,0.3815104166666667,0.04302789490067267
compression_rate,0.312,0.3815104166666667,0.04302789490067267
compression_rate,0.314,0.3893229166666667,0.041031123064033156
compression_rate,0.316,0.3893229166666667,0.041031123064033156
compression_rate,0.318,0.3919270833333333,0.04493602585087864
compression_rate,0.32,0.3919270833333333,0.04493602585087864
compression_rate,0.322,0.3984375,0.04894517221149089
compression_rate,0.324,0.3984375,0.04894517221149089
compression_rate,0.326,0.3997395833333333,0.04915256793796061
compression_rate,0.328,0.3997395833333333,0.04915256793796061
compression_rate,0.33,0.4075520833333333,0.0566518487442893
compression_rate,0.332,0.4075520833333333,0.0566518487442893
compression_rate,0.334,0.4088541666666667,0.0566518487442893
compression_rate,0.336,0.4140625,0.0625
compression_rate,0.338,0.4140625,0.0625
compression_rate,0.34,0.4192708333333333,0.05876710466873312
compression_rate,0.342,0.4192708333333333,0.05876710466873312
compression_rate,0.34400000000000003,0.4283854166666667,0.06644453553215143
compression_rate,0.34600000000000003,0.4283854166666667,0.06644453553215143
compression_rate,0.34800000000000003,0.4309895833333333,0.06266254903914566
compression_rate,0.35000000000000003,0.4309895833333333,0.06266254903914566
compression_rate,0.352,0.4322916666666667,0.0625406768673064
compression_rate,0.354,0.4322916666666667,0.0625406768673064
compression_rate,0.356,0.44140625,0.05284277054089329
compression_rate,0.358,0.44140625,0.05284277054089329
compression_rate,0.36,0.4440104166666667,0.052746429949294515
compression_rate,0.362,0.4440104166666667,0.052746429949294515
compression_rate,0.364,0.4453125,0.05078125
compression_rate,0.366,0.4453125,0.05078125
compression_rate,0.368,0.44921875,0.0450490726354328
compression_rate,0.37,0.44921875,0.0450490726354328
compression_rate,0.372,0.4518229166666667,0.046929222111823175
compression_rate,0.374,0.4518229166666667,0.046929222111823175
compression_rate,0.376,0.4596354166666667,0.04946203102401713
compression_rate,0.378,0.4596354166666667,0.04946203102401713
compression_rate,0.38,0.46484375,0.04349815908460954
compression_rate,0.382,0.46484375,0.04349815908460954
compression_rate,0.384,0.4674479166666667,0.03932205435036849
compression_rate,0.386,0.4674479166666667,0.03932205435036849
compression_rate,0.388,0.4700520833333333,0.04302789490067267
compression_rate,0.39,0.4700520833333333,0.04302789490067267
compression_rate,0.392,0.4752604166666667,0.04176826805298292
compression_rate,0.394,0.4752604166666667,0.04176826805298292
compression_rate,0.396,0.4752604166666667,0.04176826805298292
compression_rate,0.398,0.4752604166666667,0.04176826805298292
compression_rate,0.4,0.4752604166666667,0.04176826805298292
compression_rate,0.402,0.4752604166666667,0.04176826805298292
compression_rate,0.404,0.4765625,0.03964410767614148
compression_rate,0.406,0.4765625,0.03964410767614148
compression_rate,0.40800000000000003,0.4791666666666667,0.04065753905207291
compression_rate,0.41000000000000003,0.4791666666666667,0.04065753905207291
compression_rate,0.41200000000000003,0.4817708333333333,0.04285021529141754
compression_rate,0.41400000000000003,0.4817708333333333,0.04285021529141754
compression_rate,0.41600000000000004,0.484375,0.04225255400934363
compression_rate,0.418,0.4895833333333333,0.043905508593977516
compression_rate,0.42,0.4895833333333333,0.043905508593977516
compression_rate,0.422,0.4934895833333333,0.04285021529141754
compression_rate,0.424,0.4934895833333333,0.04285021529141754
compression_rate,0.426,0.4934895833333333,0.04285021529141754
compression_rate,0.428,0.4934895833333333,0.04285021529141754
compression_rate,0.43,0.4947916666666667,0.04355658511374409
compression_rate,0.432,0.4947916666666667,0.04355658511374409
compression_rate,0.434,0.4947916666666667,0.04355658511374409
compression_rate,0.436,0.4947916666666667,0.04355658511374409
compression_rate,0.438,0.4986979166666667,0.0482122619311813
compression_rate,0.44,0.4986979166666667,0.0482122619311813
compression_rate,0.442,0.5026041666666666,0.041768268052982914
compression_rate,0.444,0.5026041666666666,0.041768268052982914
compression_rate,0.446,0.5026041666666666,0.041768268052982914
compression_rate,0.448,0.5026041666666666,0.041768268052982914
compression_rate,0.45,0.5052083333333334,0.04285021529141753
compression_rate,0.452,0.5052083333333334,0.04285021529141753
compression_rate,0.454,0.5130208333333334,0.050379015943107036
compression_rate,0.456,0.5130208333333334,0.050379015943107036
compression_rate,0.458,0.51953125,0.051674830294230284
